"","setname","teamName","opponent","season","wonMatch","wonSet","serveErr","setErr","attackErr","freeballErr","ace","kill","stuffBlock","unforcedErrs","earnedPts"
"186","191011 CU vs USC 1-3s1","USC","CU","19","TRUE","TRUE",2,0,5,1,2,30,10,8,42
"187","191011 CU vs USC 1-3s2","CU","USC","CU 19","FALSE","FALSE",7,0,5,0,2,26,5,12,33
"188","191011 CU vs USC 1-3s2","USC","CU","19","TRUE","TRUE",7,0,5,0,2,26,5,12,33
"189","191011 CU vs USC 1-3s3","CU","USC","CU 19","FALSE","TRUE",5,0,3,0,5,31,4,8,40
"190","191011 CU vs USC 1-3s3","USC","CU","19","TRUE","FALSE",5,0,3,0,5,31,4,8,40
"191","191011 CU vs USC 1-3s4","CU","USC","CU 19","FALSE","FALSE",6,1,2,0,5,28,6,9,39
"192","191011 CU vs USC 1-3s4","USC","CU","19","TRUE","TRUE",6,1,2,0,5,28,6,9,39
"193","191013 CU vs UCLA 0-3s1","CU","UCLA","CU 19","FALSE","FALSE",6,0,9,1,2,20,2,16,24
"194","191013 CU vs UCLA 0-3s1","UCLA","CU","19","TRUE","TRUE",6,0,9,1,2,20,2,16,24
"195","191013 CU vs UCLA 0-3s2","CU","UCLA","CU 19","FALSE","FALSE",1,2,6,2,2,29,6,11,37
"196","191013 CU vs UCLA 0-3s2","UCLA","CU","19","TRUE","TRUE",1,2,6,2,2,29,6,11,37
"197","191013 CU vs UCLA 0-3s3","CU","UCLA","CU 19","FALSE","FALSE",5,0,5,0,3,26,4,10,33
"198","191013 CU vs UCLA 0-3s3","UCLA","CU","19","TRUE","TRUE",5,0,5,0,3,26,4,10,33
"199","191018 CU @ Stan 0-3s1","CU","Stan","CU 19","FALSE","FALSE",8,0,7,0,0,28,4,15,32
"200","191018 CU @ Stan 0-3s1","Stan","CU","19","TRUE","TRUE",8,0,7,0,0,28,4,15,32
"201","191018 CU @ Stan 0-3s2","CU","Stan","CU 19","FALSE","FALSE",2,0,6,0,3,20,6,8,29
"202","191018 CU @ Stan 0-3s2","Stan","CU","19","TRUE","TRUE",2,0,6,0,3,20,6,8,29
"203","191018 CU @ Stan 0-3s3","CU","Stan","CU 19","FALSE","FALSE",7,1,4,0,4,20,3,12,27
"204","191018 CU @ Stan 0-3s3","Stan","CU","19","TRUE","TRUE",7,1,4,0,4,20,3,12,27
"205","191020 CU @ Cal 2-3s1","CU","Cal","CU 19","FALSE","FALSE",3,0,12,0,0,30,3,15,33
"206","191020 CU @ Cal 2-3s1","Cal","CU","19","TRUE","TRUE",3,0,12,0,0,30,3,15,33
"207","191020 CU @ Cal 2-3s2","CU","Cal","CU 19","FALSE","FALSE",2,0,0,0,2,37,6,2,45
"208","191020 CU @ Cal 2-3s2","Cal","CU","19","TRUE","TRUE",2,0,0,0,2,37,6,2,45
"209","191020 CU @ Cal 2-3s3","CU","Cal","CU 19","FALSE","TRUE",4,0,3,1,3,38,1,8,42
"210","191020 CU @ Cal 2-3s3","Cal","CU","19","TRUE","FALSE",4,0,3,1,3,38,1,8,42
"211","191020 CU @ Cal 2-3s4","CU","Cal","CU 19","FALSE","TRUE",3,0,4,1,2,36,6,8,44
"212","191020 CU @ Cal 2-3s4","Cal","CU","19","TRUE","FALSE",3,0,4,1,2,36,6,8,44
"213","191020 CU @ Cal 2-3s5","CU","Cal","CU 19","FALSE","FALSE",1,0,3,0,0,24,2,4,26
"214","191020 CU @ Cal 2-3s5","Cal","CU","19","TRUE","TRUE",1,0,3,0,0,24,2,4,26
"215","191024 CU vs WA St 0-3s1","CU","WA St","CU 19","FALSE","FALSE",3,0,7,0,3,24,5,10,32
"216","191024 CU vs WA St 0-3s1","WA St","CU","19","TRUE","TRUE",3,0,7,0,3,24,5,10,32
"217","191024 CU vs WA St 0-3s2","CU","WA St","CU 19","FALSE","FALSE",4,1,4,2,3,26,8,11,37
